width,height,out_width,out_height,engine,mode,round,frame,input,upload_ms,record_ms,submit_ms,wait_ms,query_ms,retire_ms,read_ms,total_ms,device_ms
1280,720,2560,1440,native,end-to-end,0,23,1,0.149639,0.084249,0.0173,3.583425,0.02435,5e-05,0.723073,4.582086,3.50048
1280,720,2560,1440,native,end-to-end,0,24,0,0.144549,0.074629,0.02056,3.594865,0.02765,5e-05,0.772202,4.634505,3.5002
1280,720,2560,1440,native,end-to-end,0,25,1,0.147439,0.118269,0.02344,3.590155,0.0265,4e-05,0.764742,4.670585,3.50348
1280,720,2560,1440,native,end-to-end,0,26,0,0.145769,0.092929,0.02577,3.580235,0.02578,5e-05,0.720373,4.590906,3.50044
1280,720,2560,1440,native,end-to-end,0,27,1,0.144149,0.074379,0.02003,3.586715,0.02354,5e-05,0.725423,4.574286,3.5004
1280,720,2560,1440,native,end-to-end,0,28,0,0.139388,0.07885,0.01657,3.582265,0.02519,4e-05,0.702523,4.544826,3.49812
1280,720,2560,1440,native,end-to-end,0,29,1,0.175208,0.081829,0.02622,3.593375,0.02668,5e-05,0.701243,4.604605,3.49904
1280,720,2560,1440,native,end-to-end,0,30,0,0.127029,0.072819,0.01914,3.595535,0.02567,5e-05,0.697484,4.537727,3.50352
1280,720,2560,1440,native,end-to-end,0,31,1,0.137138,0.090919,0.02603,3.587565,0.0261,4e-05,0.737763,4.605555,3.49944
1280,720,2560,1440,native,end-to-end,0,32,0,0.133419,0.086429,0.01842,3.579195,0.02508,5e-05,0.764232,4.606825,3.49952
1280,720,2560,1440,native,end-to-end,0,33,1,0.174579,0.088299,0.01833,3.577925,0.02628,4e-05,0.696353,4.581806,3.49896
1280,720,2560,1440,native,end-to-end,0,34,0,0.147899,0.084709,0.02665,3.580615,0.02556,5e-05,0.698443,4.563926,3.50116
1280,720,2560,1440,native,end-to-end,0,35,1,0.134559,0.074479,0.02025,3.590365,0.02556,4e-05,0.698393,4.543646,3.49804
1280,720,2560,1440,native,end-to-end,0,36,0,0.135829,0.084369,0.02561,3.579505,0.02456,4e-05,0.706933,4.556846,3.50224
1280,720,2560,1440,native,end-to-end,0,37,1,0.127839,0.072059,0.01976,3.590245,0.02534,5e-05,0.688843,4.524136,3.49744
1280,720,2560,1440,native,end-to-end,0,38,0,0.130769,0.088959,0.0267,3.598215,0.02788,5e-05,0.737223,4.609796,3.50268
1280,720,2560,1440,native,end-to-end,0,39,1,0.138118,0.08371,0.024069,3.593816,0.01562,3e-05,0.724903,4.580266,3.50208
1920,1080,960,540,ogpu,resident,0,10,0,4e-05,0.00227,0.102449,1.00617,0.01631,0.00021,3e-05,1.127479,0.93296
1920,1080,960,540,ogpu,resident,0,11,1,3e-05,0.00174,0.091159,1.00892,0.01848,0.0003,4e-05,1.120669,0.93356
1920,1080,960,540,ogpu,resident,0,12,0,4e-05,0.00234,0.098789,1.01134,0.0168,0.00026,3e-05,1.129599,0.93308
1920,1080,960,540,ogpu,resident,0,13,1,3e-05,0.0022,0.082799,0.99895,0.0131,0.00023,3e-05,1.097339,0.93272
1920,1080,960,540,ogpu,resident,0,14,0,3e-05,0.00165,0.086959,1.036481,0.01887,0.00024,4e-05,1.14427,0.93288
1920,1080,960,540,ogpu,resident,0,15,1,4e-05,0.002199,0.0925,1.00496,0.018389,0.00025,3e-05,1.118368,0.93316
